date,hs300,sp500,cgb10y,gold,policy_bond,credit_bond,cash
2023-07-31,0.1424333830706141,0.10507819279052479,0.026072258753384803,0.23136825397002136,0.028232745089835493,0.0999274615144571,0.3668877048111623
2023-08-31,0.15263661413860638,0.11227101797205316,0.01825058112736936,0.24898041657874798,0.019762921562884846,0.06994922306011997,0.37814922556021824
2023-09-28,0.11724541124590028,0.08415978852049501,0.05970429539906891,0.18563193984910703,0.06052718665562715,0.22802692043764877,0.2647044578921529
2023-10-31,0.09270434669055712,0.06500575175565679,0.09211633423306584,0.14140231809493012,0.08974421407998247,0.33373391462130064,0.18529312052450697
2023-11-30,0.07538515384018907,0.051692668110584546,0.11656785611805232,0.11014968011845273,0.11263751497982477,0.4038619424657416,0.12970518436715506
2023-12-29,0.061745577479215115,0.04252778605662686,0.13605751146370765,0.08764904555671864,0.12743381496292283,0.45379263542380033,0.0907936290570086
2024-01-31,0.05217585973778641,0.03604907142178155,0.14674580398344123,0.07206368166132254,0.13813014866056705,0.49127989419519524,0.06355554033990596
2024-02-29,0.04547927628975314,0.031906577718761674,0.15314553560746108,0.06231030824584119,0.14336217774493992,0.5193072461553088,0.04448887823793424
2024-03-29,0.0414419402199039,0.030065925375263244,0.1549270459573328,0.055001809404175706,0.1426502595317032,0.5447708047450671,0.03114221476655399
2024-04-30,0.040242151704377484,0.029730452948765994,0.15767485408763868,0.05074495855836496,0.14307512113094698,0.556732911233318,0.02179955033658787
2024-05-31,0.039781668178606844,0.029404143196230383,0.15959730750259862,0.047307052414741584,0.14459052831257102,0.56405961515964,0.015259685235611498
2024-06-28,0.039679392794611974,0.029309092734304584,0.16214997275728976,0.04431848862041085,0.14615141586313912,0.5677098575653157,0.010681779664928115
2024-07-31,0.039581066607432526,0.02875654803405092,0.1627354335508587,0.041399466248898426,0.14688725441622913,0.5731629853770807,0.007477245765449725
2024-08-30,0.040309711376524136,0.028453228979645407,0.16224175241617417,0.04015242326769837,0.14925060681461816,0.5743582051095251,0.005234072035814719
2024-09-30,0.042300095312027136,0.028419037601594636,0.16145411387568753,0.039118531778311635,0.1497296183732155,0.5753147526340933,0.0036638504250703363
2024-10-31,0.04242670524999283,0.03088219298278111,0.17325950603626022,0.040753465544875855,0.16216647662461425,0.5479469582639265,0.0025646952975493242
2024-11-29,0.042354863330613376,0.03284385537937135,0.18196592525351277,0.04132160684818899,0.17103023734672373,0.5286882251333052,0.0017952867082846602
2024-12-31,0.043229395859897206,0.0347836859559433,0.18620319055018084,0.042820125878032016,0.17545225001273335,0.516254651047414,0.0012567006957993065
2025-01-27,0.06515627513887955,0.0667020094587667,0.1303422333851266,0.08125364751276754,0.12281657500891348,0.4323516227999149,0.10137763669563116
2025-02-28,0.0674835444555898,0.06638878064899859,0.1965737240355674,0.08035965332639058,0.18327357984834736,0.3349563719981644,0.07096434568694188
2025-03-31,0.0696854996130355,0.06535705007281306,0.2421926718424552,0.0807030415736987,0.22483030703678608,0.26755638788035213,0.04967504198085937
2025-04-30,0.07854436435506608,0.07444718517532525,0.16953487028971861,0.09868593638460674,0.15738121492575025,0.25846052756172677,0.16294590130780617
2025-05-30,0.08472093455230438,0.08113056847101915,0.11867440920280302,0.11070313776464771,0.11016685044802517,0.2521005796472357,0.2425035199139649
2025-06-30,0.07920106580466094,0.07135679356746405,0.19323708911150295,0.0987379093811526,0.17864490368777286,0.20906977450767117,0.1697524639397755
2025-07-31,0.07554688932990974,0.06460456998259331,0.2457490912767169,0.09004116652188558,0.22657368369263509,0.17865787443841655,0.11882672475784284
2025-08-29,0.07244713630016403,0.06073768464399242,0.28487762897716673,0.08489613221049541,0.25776568714374637,0.15609702339394496,0.08317870733049015
2025-09-30,0.07022222265535555,0.058601006769403954,0.3132603878678487,0.08091131464026984,0.2785723579412537,0.14020761499452516,0.05822509513134311
2025-10-31,0.08686412748115477,0.07271542880873774,0.2192822715074946,0.09691418146433364,0.19500065055887847,0.1689097232792363,0.16031361690016444
2025-11-28,0.09845704165432995,0.0811551710039971,0.1534975900552462,0.10658164053809278,0.13650045539121494,0.18895175585428647,0.23485634550283252
2025-12-31,0.10670458361865154,0.0865635296872693,0.10744831303867235,0.1125137801006301,0.09555031877385045,0.2027714159053986,0.2884480588755277
2026-01-30,0.0947809719145452,0.0742141311309236,0.1962864386012722,0.09118048003411225,0.17315846638989893,0.16846587071637842,0.20191364121286937
2026-02-27,0.10798864114710977,0.08426959783092605,0.13740050702089054,0.09292803325786654,0.12121092647292925,0.0,0.4562022942702779
